symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMD,2016-12-19 00:00:00+00:00,10.95,11.0,10.52,10.81,46085840,10.95,11.0,10.52,10.81,46085840,0.0,1.0
AMD,2016-12-20 00:00:00+00:00,11.51,11.51,11.15,11.19,59314159,11.51,11.51,11.15,11.19,59314159,0.0,1.0
AMD,2016-12-21 00:00:00+00:00,11.47,11.72,11.31,11.61,44814131,11.47,11.72,11.31,11.61,44814131,0.0,1.0
AMD,2016-12-22 00:00:00+00:00,11.6,11.75,11.47,11.65,36450756,11.6,11.75,11.47,11.65,36450756,0.0,1.0
AMD,2016-12-23 00:00:00+00:00,11.58,11.6,11.26,11.3,32288235,11.58,11.6,11.26,11.3,32288235,0.0,1.0
AMD,2016-12-27 00:00:00+00:00,12.07,12.08,11.6,11.65,44336488,12.07,12.08,11.6,11.65,44336488,0.0,1.0
AMD,2016-12-28 00:00:00+00:00,11.55,12.42,11.46,12.28,71254459,11.55,12.42,11.46,12.28,71254459,0.0,1.0
AMD,2016-12-29 00:00:00+00:00,11.59,11.62,11.01,11.24,50234261,11.59,11.62,11.01,11.24,50234261,0.0,1.0
AMD,2016-12-30 00:00:00+00:00,11.34,11.78,11.25,11.7,44095368,11.34,11.78,11.25,11.7,44095368,0.0,1.0
AMD,2017-01-03 00:00:00+00:00,11.43,11.65,11.02,11.42,55181960,11.43,11.65,11.02,11.42,55181960,0.0,1.0
AMD,2017-01-04 00:00:00+00:00,11.43,11.5204,11.235,11.45,40781190,11.43,11.5204,11.235,11.45,40781190,0.0,1.0
AMD,2017-01-05 00:00:00+00:00,11.24,11.69,11.23,11.43,38855214,11.24,11.69,11.23,11.43,38855214,0.0,1.0
AMD,2017-01-06 00:00:00+00:00,11.32,11.49,11.11,11.29,34453462,11.32,11.49,11.11,11.29,34453462,0.0,1.0
AMD,2017-01-09 00:00:00+00:00,11.49,11.64,11.31,11.37,37304797,11.49,11.64,11.31,11.37,37304797,0.0,1.0
AMD,2017-01-10 00:00:00+00:00,11.44,11.63,11.33,11.55,29201580,11.44,11.63,11.33,11.55,29201580,0.0,1.0
AMD,2017-01-11 00:00:00+00:00,11.2,11.41,11.15,11.39,39377016,11.2,11.41,11.15,11.39,39377016,0.0,1.0
AMD,2017-01-12 00:00:00+00:00,10.76,11.0376,10.33,10.98,75244087,10.76,11.0376,10.33,10.98,75244087,0.0,1.0
AMD,2017-01-13 00:00:00+00:00,10.58,10.87,10.56,10.79,38377455,10.58,10.87,10.56,10.79,38377455,0.0,1.0
AMD,2017-01-17 00:00:00+00:00,9.82,10.23,9.78,10.17,70491802,9.82,10.23,9.78,10.17,70491802,0.0,1.0
AMD,2017-01-18 00:00:00+00:00,9.88,10.1,9.42,9.54,51797592,9.88,10.1,9.42,9.54,51797592,0.0,1.0
